number,name,symbol,atomic_weight
1,Hydrogen,H,1.008
2,Helium,He,4.0026022
3,Lithium,Li,6.94
4,Beryllium,Be,9.01218315
5,Boron,B,10.81
6,Carbon,C,12.011
7,Nitrogen,N,14.007
8,Oxygen,O,15.999
9,Fluorine,F,18.99840316
10,Neon,Ne,20.17976
11,Sodium,Na,22.98976928
12,Magnesium,Mg,24.305
13,Aluminum,Al,26.98153857
14,Silicon,Si,28.085
15,Phosphorus,P,30.973762
16,Sulfur,S,32.06
17,Chlorine,Cl,35.45
18,Argon,Ar,39.9481
19,Potassium,K,39.09831
20,Calcium,Ca,40.0784
21,Scandium,Sc,44.9559085
22,Titanium,Ti,47.8671
23,Vanadium,V,50.94151
24,Chromium,Cr,51.99616
25,Manganese,Mn,54.9380443
26,Iron,Fe,55.8452
27,Cobalt,Co,58.9331944
28,Nickel,Ni,58.69344
29,Copper,Cu,63.5463
30,Zinc,Zn,65.382
31,Gallium,Ga,69.7231
32,Germanium,Ge,72.6308
33,Arsenic,As,74.9215956
34,Selenium,Se,78.9718
35,Bromine,Br,79.904
36,Krypton,Kr,83.7982
37,Rubidium,Rb,85.46783
38,Strontium,Sr,87.621
39,Yttrium,Y,88.905842
40,Zirconium,Zr,91.2242
41,Niobium,Nb,92.906372
42,Molybdenum,Mo,95.951
43,Technetium,Tc,98
44,Ruthenium,Ru,101.072
45,Rhodium,Rh,102.905502
46,Palladium,Pd,106.421
47,Silver,Ag,107.86822
48,Cadmium,Cd,112.4144
49,Indium,In,114.8181
50,Tin,Sn,118.7107
51,Antimony,Sb,121.7601
52,Tellurium,Te,127.603
53,Iodine,I,126.904473
54,Xenon,Xe,131.2936
55,Cesium,Cs,132.905452
56,Barium,Ba,137.3277
57,Lanthanum,La,138.905477
58,Cerium,Ce,140.1161
59,Praseodymium,Pr,140.907662
60,Neodymium,Nd,144.2423
61,Promethium,Pm,145
62,Samarium,Sm,150.362
63,Europium,Eu,151.9641
64,Gadolinium,Gd,157.253
65,Terbium,Tb,158.925352
66,Dysprosium,Dy,162.5001
67,Holmium,Ho,164.930332
68,Erbium,Er,167.2593
69,Thulium,Tm,168.934222
70,Ytterbium,Yb,173.0451
71,Lutetium,Lu,174.96681
72,Hafnium,Hf,178.492
73,Tantalum,Ta,180.947882
74,Tungsten,W,183.841
75,Rhenium,Re,186.2071
76,Osmium,Os,190.233
77,Iridium,Ir,192.2173
78,Platinum,Pt,195.0849
79,Gold,Au,196.9665695
80,Mercury,Hg,200.5923
81,Thallium,Tl,204.38
82,Lead,Pb,207.21
83,Bismuth,Bi,208.980401
84,Polonium,Po,209
85,Astatine,At,210
86,Radon,Rn,222
87,Francium,Fr,223
88,Radium,Ra,226
89,Actinium,Ac,227
90,Thorium,Th,232.03774
91,Protactinium,Pa,231.035882
92,Uranium,U,238.028913
93,Neptunium,Np,237
94,Plutonium,Pu,244
95,Americium,Am,243
96,Curium,Cm,247
97,Berkelium,Bk,247
98,Californium,Cf,251
99,Einsteinium,Es,252
100,Fermium,Fm,257
101,Mendelevium,Md,258
102,Nobelium,No,259
103,Lawrencium,Lr,266
105,Dubnium,Db,268
106,Seaborgium,Sg,269
107,Bohrium,Bh,270
108,Hassium,Hs,269
109,Meitnerium,Mt,278
110,Darmstadtium,Ds,281
111,Roentgenium,Rg,282
112,Ununbium,Uub,285
113,Ununtrium,Uut,286
114,Ununquadium,Uuq,289
115,Ununpentium,Uup,289
116,Ununhexium,Uuh,293
117,Ununseptium,Uus,294
118,Ununoctium,Uuo,294
